"Cut me some slack": latency-aware live migration for databases.;2014;17
A desktop interface over distributed document repositories.;2014;1
A generic data model and query language for spatiotemporal OLAP cube analysis.;2014;6
A probabilistic convex hull query tool.;2014;1
Adaptive indexing in modern database kernels.;2014;2
Aggregate queries on probabilistic record linkages.;2014;1
An adaptive algorithm for online time series segmentation with error bound guarantee.;2014;2
An optimization framework for map-reduce queries.;2014;4
Clydesdale: structured data processing on MapReduce.;2014;11
ColisTrack: testbed for a pervasive environment management system.;2014;2
Data management with SAPs in-memory computing engine.;2014;2
Differentially private search log sanitization with optimal output utility.;2014;4
Distance histogram computation based on spatiotemporal uniformity in scientific data.;2014;1
Distributed data management for large-scale wireless sensor networks simulations.;2014;1
Distributed skyline processing: a trend in database research still going strong.;2014;2
Dynamic diversification of continuous data.;2014;5
Effectively indexing the multi-dimensional uncertain objects for range searching.;2014;3
Efficient distributed query processing for autonomous RDF databases.;2014;6
Efficient parallel kNN joins for large data in MapReduce.;2014;0
Fault-tolerant complex event processing using customizable state machine-based operators.;2014;2
Finding maximal k-edge-connected subgraphs from a large graph.;2014;8
Finding top-k similar graphs in graph databases.;2014;7
Indexing and mining topological patterns for drug discovery.;2014;2
Integrating historical noisy answers for improving data utility under differential privacy.;2014;1
Introducing MapLan to map banking survey data into a time series database.;2014;1
Knowledge-based processing of complex stock market events.;2014;3
Limiting link disclosure in social network analysis through subgraph-wise perturbation.;2014;4
Mining probabilistically frequent sequential patterns in uncertain databases.;2014;8
Peak power plays in database engines.;2014;2
PeerTrack: a platform for tracking and tracing objects in large-scale traceability networks.;2014;5
Private-HERMES: a benchmark framework for privacy-preserving mobility data querying and mining methods.;2014;2
Realtime healthcare services via nested complex event processing technology.;2014;1
RecStore: an extensible and adaptive framework for online recommender queries inside the database engine.;2014;2
Repair-oriented relational schemas for multidimensional databases.;2014;2
SFA: a symbolic fourier approximation and index for similarity search in high dimensional datasets.;2014;3
SIMP: accurate and efficient near neighbor search in high dimensional spaces.;2014;2
SOS (save our systems): a uniform programming interface for non-relational systems.;2014;2
SPARQL-RW: transparent query access over mapped RDF data sources.;2014;7
Searching by corpus with fingerprints.;2014;1
Shortest-path queries for complex networks: exploiting low tree-width outside the core.;2014;11
Similarity in (spatial, temporal and) spatio-temporal datasets.;2014;1
Skyline-sensitive joins with LR-pruning.;2014;4
Subscription indexes for web syndication systems.;2014;4
Tailoring entity resolution for matching product offers.;2014;7
The mainframe strikes back: elastic multi-tenancy using main memory database systems on a many-core server.;2014;2
Top-k interesting phrase mining in ad-hoc collections using sequence pattern indexing.;2014;1
Top-k spatial keyword queries on road networks.;2014;8
Transitive closure and recursive Datalog implemented on clusters.;2014;6
User oriented trajectory search for trip recommendation.;2014;9
VAST-Tree: a vector-advanced and compressed structure for massive data tree traversal.;2014;2
A performance comparison of parallel DBMSs and MapReduce on large-scale text analytics.;2014;2
A safe zone based approach for monitoring moving skyline queries.;2014;3
Accelerating spatial range queries.;2014;5
An RFID and particle filter-based indoor spatial query evaluation system.;2014;6
An automatic physical design tool for clustered column-stores.;2014;3
An efficient layout method for a large collection of geographic data entries.;2014;1
Anomaly management using complex event processing: extending data base technology paper.;2014;1
AppSleuth: a tool for database tuning at the application level.;2014;1
CINEMA: conformity-aware greedy algorithm for influence maximization in online social networks.;2014;6
CloudOptimizer: multi-tenancy for I/O-bound OLAP workloads.;2014;1
Compressed feature-based filtering and verification approach for subgraph search.;2014;1
Compromising privacy in precise query protocols.;2014;4
Computing n-gram statistics in MapReduce.;2014;2
Cost exploration of data sharings in the cloud.;2014;3
CrowdSeed: query processing on microblogs.;2014;1
Eagle-eyed elephant: split-oriented indexing in Hadoop.;2014;11
Efficient and accurate strategies for differentially-private sliding window queries.;2014;4
Efficient breadth-first search on large graphs with skewed degree distributions.;2014;2
Efficient multifaceted screening of job applicants.;2014;1
Efficient privacy-aware record integration.;2014;11
Efficient processing of containment queries on nested sets.;2014;1
Efficient query answering against dynamic RDF databases.;2014;7
Efficient top-k query answering using cached views.;2014;2
Elastic online analytical processing on RAMCloud.;2014;1
Enhanced stream processing in a DBMS kernel.;2014;2
Entity discovery and annotation in tables.;2014;6
From A to E: analyzing TPC's OLTP benchmarks: the obsolete, the ubiquitous, the unexplored.;2014;8
From stars to galaxies: skyline queries on aggregate data.;2014;5
HIL: a high-level scripting language for entity integration.;2014;7
High-performance complex event processing using continuous sliding views.;2014;1
HyperLogLog in practice: algorithmic engineering of a state of the art cardinality estimation algorithm.;2014;10
Invisible loading: access-driven data transfer from raw files into database systems.;2014;11
Limosa: a system for geographic user interest analysis in Twitter.;2014;4
MinExp-card: limiting data collection using a smart card.;2014;1
Mining frequent serial episodes over uncertain sequence data.;2014;3
Near real-time analytics with IBM DB2 analytics accelerator.;2014;1
Optimizing query rewriting in ontology-based data access.;2014;9
PMAX: tenant placement in multitenant databases for profit maximization.;2014;6
Panorama: a semantic-aware application search framework.;2014;4
Pollux: towards scalable distributed real-time search on microblogs.;2014;1
PostgreSQL anomalous query detector.;2014;1
PrivComp: a privacy-aware data service composition system.;2014;3
ProRea: live database migration for multi-tenant RDBMS with snapshot isolation.;2014;5
Proactive natural language search engine: tapping into structured data on the web.;2014;2
Probabilistic inference of object identifications for event stream analytics.;2014;2
Processing XML queries and updates on map/reduce clusters.;2014;5
Processing multi-way spatial joins on map-reduce.;2014;9
ProvenanceCurious: a tool to infer data provenance from scripts.;2014;1
Real-time wildfire monitoring using scientific database and linked data technologies.;2014;5
SWAT: a lightweight load balancing method for multitenant databases.;2014;3
Scalable top-k spatial keyword search.;2014;6
Schema mappings and data examples.;2014;3
Selectivity estimation for hybrid queries over text-rich data graphs.;2014;2
SkyDiver: a framework for skyline diversification.;2014;3
Skyline queries in crowd-enabled databases.;2014;4
Sparkler: supporting large-scale matrix factorization.;2014;8
Temporal query processing in Teradata.;2014;5
The W3C PROV family of specifications for modelling provenance metadata.;2014;12
Towards context-aware search and analysis on social media data.;2014;8
Tuning in action.;2014;1
Updating outsourced anatomized private databases.;2014;3
Utility-driven data acquisition in participatory sensing.;2014;9
Web data indexing in the cloud: efficiency and cost reductions.;2014;4
YmalDB: a result-driven recommendation system for databases.;2014;1
iPark: identifying parking spaces from trajectories.;2014;1
History repeats itself: sensible and NonsenSQL aspects of the NoSQL hoopla.;2014;29
SWORD: scalable workload-aware data placement for transactional workloads.;2014;14
Heuristics-based query optimisation for SPARQL.;2014;22
Inside "Big Data management": ogres, onions, or parfaits?;2014;27
Relevance search in heterogeneous networks.;2014;20
See what's enBlogue: real-time emergent topic identification in social media.;2014;16
Choosing the right crowd: expert finding in social networks.;2014;16
Efficient approximation of the maximal preference scores by lightweight cubic views.;2014;0
Evaluating hybrid queries through service coordination in HYPATIA.;2014;0
I/O cost minimization: reachability queries processing over massive graphs.;2014;0
Intention insider: discovering people's intentions in the social channel.;2014;0
Knowing: a generic data analysis application.;2014;0
Optimizing index deployment order for evolving OLAP.;2014;0
QUASAR: querying annotation, structure, and reasoning.;2014;0
Supporting top-K item exchange recommendations in large online communities.;2014;0
Towards "intelligent compression" in streams: a biased reservoir sampling based Bloom filter approach.;2014;0
Towards an ecosystem of structured data on the web.;2014;0
Transactional stream processing.;2014;0
EXLEngine: executable schema mappings for statistical data processing.;2014;0
In the Mood4: recommendation by examples.;2014;0
Query-aware compression of join results.;2014;0
Rapid experimentation for testing and tuning a production database deployment.;2014;0
Semantic queries by example.;2014;0
Skyline probability over uncertain preferences.;2014;0
Subspace global skyline query processing.;2014;0
Mining search behavior and user-generated content: presentation at the industrial session - EDBT/ICDT 2012.;2014;0
On optimizing relational self-joins.;2014;0
Towards principled design support for scalable OLTP workloads.;2014;0
CISC: clustered image search by conceptualization.;2014;0
Data exchange with arithmetic operations.;2014;0
Hive open research network platform.;2014;0
ProQua: a system for evaluating logic-based scoring functions on uncertain relational data.;2014;0
Trust and reputation in and across virtual communities.;2014;0
"3D Cloud" in Life Sciences: An innovative framework for remote 2D/3D visualization and collaboration.;2014;1
A Cloud Computing Service for managing biomedical image collections.;2014;0
A Consistency Checker for verifying the knowledge encoded into clinical DSSs.;2014;0
A bag of visual words approach for centromere and cytoplasmic staining pattern classification on HEp-2 images.;2014;5
A classification-based approach to segment HEp-2 cells.;2014;4
A comparison of state-of-the-art technologies for irreversible compression of large medical datasets.;2014;0
A flexible Java GPU-enhanced visualization framework and its applications.;2014;2
A general framework for detecting diabetic retinopathy lesions in eye fundus images.;2014;1
A linked data approach to assessing medical data.;2014;4
A novel Bayesian approach to adaptive mean shift segmentation of brain images.;2014;5
A novel algorithm for automated counting of stained cells on thick tissue sections.;2014;0
A novel indoor localization system for healthcare environments.;2014;5
A random walks perspective on maximizing satisfaction of personalized nutrition planning.;2014;0
A remotely programmable smart pillbox for enhancing medication adherence.;2014;1
A semantically enriched medical literature mining framework.;2014;1
Accessing advanced computational resources in Africa through Cloud Computing.;2014;0
Advances in Data Mining for Biomedical Research.;2014;0
An SFFS technique for EEG feature classification to identify sub-groups.;2014;2
An ontological modeling approach to align institution-specific Clinical Pathways: Towards inter-institution care standardization.;2014;0
Application services architecture of the national project for social services IT.;2014;0
Argumentation theory in health care.;2014;2
Automated clinical coding using semantic atoms and topology.;2014;1
Automated microaneurysm detection method based on double-ring filter and feature analysis in retinal fundus images.;2014;6
Automated segmentation of optic disc and optic cup in fundus images for glaucoma diagnosis.;2014;4
